     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
Date      Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199004  -6.00  -5.36  -6.43  -6.15  -7.56  -7.46  -5.95  -5.27  -7.65  -9.65
199005   6.60   3.80   6.76   5.95   9.03   5.55   5.93   6.40   7.64   5.17
199006   0.78  -0.62   0.26   0.38  -0.68   0.67  -0.92   0.28   1.52  -4.25
199007   5.52   4.05   8.57   2.27   6.94   2.51   7.46   1.58   8.22   6.61
199008  -4.26  -5.12  -2.62  -6.76  -5.93  -9.41  -3.46  -6.03  -4.59   7.89
199009  -6.75 -12.03  -4.81 -12.38  -5.20 -12.33  -6.29  -9.02  -7.15  -0.80
199010  -4.17  -7.28  -1.73  -8.40  -2.89 -10.24  -2.50  -4.63  -4.11  -6.08
199011   0.78   4.18   2.38  -0.63   3.14   2.04   0.41  -1.68   2.82  -1.17
199012  -2.55  -6.55  -2.10  -5.90  -1.13  -2.02  -1.78  -3.21  -3.72  -4.11
199101   3.62   8.02   2.06   4.26   0.78   1.72   0.33   8.18   1.76  -1.70
199102   6.64   9.53   6.59   9.96   5.64  12.16   5.09   6.63   8.10   1.41
199103   3.24   0.23   2.74   2.38   1.17   4.03   2.84  -1.15   3.76   4.85
199104   6.78   7.15   7.48   4.41   7.10   3.36   6.07   6.19   9.03   2.14
199105  -1.47  -2.87  -1.37  -1.83  -1.25  -6.29  -2.80   1.10  -0.72  -3.51
199106   0.31  -6.22   0.52  -0.88  -0.01  -6.47   0.13  -1.77  -0.21   1.96
199107   4.74   6.79   3.91   8.76   2.83   8.15   2.93   4.05   3.53   3.43
199108  -1.94   1.23  -2.73  -1.57  -2.35   1.00  -2.41  -1.63  -0.80  -5.09
199109   1.64   2.68   1.09   3.21   2.78   6.74   0.98   1.77   1.42   5.36
199110   8.04  12.44   8.69   9.96   9.06  11.03   8.03   8.03  10.84  14.32
199111  -4.53  -1.19  -5.55  -1.69  -3.89  -0.05  -2.58  -2.93  -5.01  -0.69
199112   3.32   4.19   2.43   5.55   2.55   5.66   1.22   5.38   2.33  -3.72
199201  -2.08  -2.50  -2.66   0.16  -1.36   1.13  -1.22  -3.50   0.90  -3.99
199202  -0.23   3.40  -2.41   5.21  -0.72   6.15  -2.06  -0.84   1.00  -0.23
199203  -1.45  -2.42  -1.88  -0.88  -1.51  -1.21  -2.67  -3.13  -0.08  -2.10
199204   5.41   5.25   6.07   5.82   5.55   4.42   3.94   5.67   4.26   3.54
199205   1.55   1.17   1.12   5.07   0.88   5.92   0.24  -1.67   3.42  -0.15
199206  -2.11  -3.28  -1.14  -2.62  -2.30  -2.19  -1.65  -1.16  -1.83  -2.47
199207  -1.52   2.60  -3.25   2.28  -3.58   2.44  -2.10  -0.21  -2.66   2.17
199208  -4.30  -0.67  -4.95   1.16  -5.92   0.49  -3.91  -5.46  -3.42  -4.15
199209  -3.92  -1.80  -3.31  -1.22  -5.34  -1.95  -6.56  -1.95  -4.42  -6.49
199210  -4.07   0.83  -4.69  -1.12  -4.83  -1.57  -4.02  -3.46  -4.44  -6.38
199211   1.63   6.67   0.75   3.32   1.20   3.63  -0.39   3.98   2.41  -3.73
199212   7.68   4.56   9.41   4.87  10.01   5.38   3.97   6.82   9.46   2.20
199301  -1.33  -0.25  -1.29   1.57  -2.12   2.17  -1.80   0.03  -1.60   0.53
199302   6.07   5.39   5.55   5.30   7.06   4.63   4.08   8.03   5.25   3.27
199303   3.95   5.18   2.42   6.73   3.42   6.43   0.86   9.15   1.70   4.93
199304   0.71   5.18  -1.09   4.05  -1.13   1.85  -0.39   3.08  -0.39   5.98
199305   3.55   8.43   1.54   9.85   0.68  10.10   0.98   7.90   1.20  12.66
199306  -0.05   0.86  -0.95   0.86  -1.10  -0.14  -0.50   1.68  -0.34  -3.40
199307   6.03   9.15   4.72   7.95   4.96   6.57   7.99   6.88   7.20   8.74
199308   6.70   4.98   7.03   4.61   7.63  -1.08   7.84   6.43   8.96   6.94
199309   0.27  -5.61   0.19   0.92  -1.13  -0.05   2.19  -1.79   1.29  -0.48
199310   8.26   9.83   8.93   6.46   8.81   9.52   8.31   6.26   8.72  12.34
199311  -5.08  -2.48  -6.04  -4.23  -4.63  -3.49  -7.13  -3.22  -5.76  -6.45
199312   7.98   9.07   8.64   6.65  10.23   9.20   7.73   5.72   8.26  13.43
199401   6.41   9.99   5.41   4.03   8.92   4.86   6.53   4.80   5.71  12.54
199402  -5.59  -6.32  -6.70  -5.66  -7.03  -4.74  -4.91  -3.92  -6.32  -4.81
199403  -5.71  -6.68  -4.71  -5.54  -4.30  -4.50  -5.45  -4.83  -3.99  -4.54
199404   1.18   0.80   0.59   0.76   0.78   1.84   1.65   0.53   1.78  -5.04
199405   1.16  -1.54   4.64   0.03   5.78   3.08   0.44  -0.56   1.99   1.71
199406  -4.33  -3.53  -2.59  -3.27  -3.29  -3.03  -5.94  -3.77  -5.09  -4.12
199407   4.21   4.11   4.32   3.03   4.51   5.17   3.87   3.74   3.50   6.83
199408   3.64  -0.35   6.02  -0.20   6.42   4.11   5.80   1.08   5.24   5.47
199409  -4.43  -3.04  -2.98  -2.86  -3.94  -3.74  -4.29  -3.07  -2.93  -4.35
199410   1.65   3.31   2.46   1.75   3.96   0.75   0.76   0.87   1.25   2.05
199411  -6.79  -5.33  -8.76  -2.70  -9.37  -6.17  -9.35  -4.32  -9.47  -9.21
199412   1.74   2.79   2.27   2.25   2.18   1.07  -1.37   3.08  -1.40  -1.51
199501  -3.72   0.93  -6.29   0.27  -7.02  -3.86  -7.33  -0.54  -4.82 -11.58
199502   5.95  10.77   3.09   9.10   2.35   4.40   4.47   5.98   5.73   0.61
199503  -0.34   1.85  -2.24   1.96  -1.53  -2.58  -1.82   1.01  -0.57  -1.58
199504   7.93   4.94  10.99   5.07  11.58   6.98   9.37   5.74   8.97  12.13
199505  -1.11   2.29  -2.81   1.09  -3.18  -3.30  -2.84  -1.89  -0.22  -3.06
